LATITUDE,LONGITUDE,FIELD ID,SURVEY_DATE,TRAP_COUNT_RAW,TRAP_COUNT_COOKED,year,species
47.2197913,-119.7920962,W01,05/05/2023,0.5,0.5,2023,BLH
47.2197913,-119.7920962,W01,05/12/2023,0,0,2023,BLH
47.2197913,-119.7920962,W01,05/19/2023,0,0,2023,BLH
47.2197913,-119.7920962,W01,05/26/2023,0,0,2023,BLH
47.2197913,-119.7920962,W01,06/02/2023,0,0,2023,BLH
47.2197913,-119.7920962,W01,06/09/2023,1.5,1.5,2023,BLH
47.2197913,-119.7920962,W01,06/16/2023,3.5,3.5,2023,BLH
47.2197913,-119.7920962,W01,06/23/2023,3.5,3.5,2023,BLH
47.2197913,-119.7920962,W01,06/30/2023,7,7,2023,BLH
47.2197913,-119.7920962,W01,07/07/2023,17,17,2023,BLH
47.2197913,-119.7920962,W01,07/14/2023,16.5,16.5,2023,BLH
47.2197913,-119.7920962,W01,07/21/2023,27,27,2023,BLH
47.2197913,-119.7920962,W01,07/28/2023,38.5,38.5,2023,BLH
47.2197913,-119.7920962,W01,08/04/2023,56.5,56.5,2023,BLH
47.2197913,-119.7920962,W01,08/11/2023,51.5,51.5,2023,BLH
47.2197913,-119.7920962,W01,08/18/2023,20,20,2023,BLH
47.2197913,-119.7920962,W01,08/25/2023,29.5,29.5,2023,BLH
47.2197913,-119.7920962,W01,09/01/2023,11.5,11.5,2023,BLH
47.2197913,-119.7920962,W01,09/08/2023,4,4,2023,BLH
47.2197913,-119.7920962,W01,09/15/2023,2.5,2.5,2023,BLH
47.2197913,-119.7920962,W01,09/22/2023,2,2,2023,BLH
47.2197913,-119.7920962,W01,09/29/2023,,-1,2023,BLH
47.16485,-119.800437,W02,05/05/2023,NS,-1,2023,BLH
47.16485,-119.800437,W02,05/12/2023,0,0,2023,BLH
47.16485,-119.800437,W02,05/19/2023,0,0,2023,BLH
47.16485,-119.800437,W02,05/26/2023,0,0,2023,BLH
47.16485,-119.800437,W02,06/02/2023,8,8,2023,BLH
47.16485,-119.800437,W02,06/09/2023,45.5,45.5,2023,BLH
47.16485,-119.800437,W02,06/16/2023,50,50,2023,BLH
47.16485,-119.800437,W02,06/23/2023,20.5,20.5,2023,BLH
47.16485,-119.800437,W02,06/30/2023,26.5,26.5,2023,BLH
47.16485,-119.800437,W02,07/07/2023,26,26,2023,BLH
47.16485,-119.800437,W02,07/14/2023,18,18,2023,BLH
47.16485,-119.800437,W02,07/21/2023,49.5,49.5,2023,BLH
47.16485,-119.800437,W02,07/28/2023,96,96,2023,BLH
47.16485,-119.800437,W02,08/04/2023,49.5,49.5,2023,BLH
47.16485,-119.800437,W02,08/11/2023,55,55,2023,BLH
47.16485,-119.800437,W02,08/18/2023,53.5,53.5,2023,BLH
47.16485,-119.800437,W02,08/25/2023,50,50,2023,BLH
47.16485,-119.800437,W02,09/01/2023,25.5,25.5,2023,BLH
47.16485,-119.800437,W02,09/08/2023,9.5,9.5,2023,BLH
47.16485,-119.800437,W02,09/15/2023,1,1,2023,BLH
47.16485,-119.800437,W02,09/22/2023,0,0,2023,BLH
47.16485,-119.800437,W02,09/29/2023,,-1,2023,BLH
47.132848,-119.7115504,W03,05/05/2023,0,0,2023,BLH
47.132848,-119.7115504,W03,05/12/2023,0,0,2023,BLH
47.132848,-119.7115504,W03,05/19/2023,0,0,2023,BLH
47.132848,-119.7115504,W03,05/26/2023,2.5,2.5,2023,BLH
47.132848,-119.7115504,W03,06/02/2023,0,0,2023,BLH
47.132848,-119.7115504,W03,06/09/2023,9,9,2023,BLH
47.132848,-119.7115504,W03,06/16/2023,18.5,18.5,2023,BLH
47.132848,-119.7115504,W03,06/23/2023,18,18,2023,BLH
47.132848,-119.7115504,W03,06/30/2023,2.5,2.5,2023,BLH
47.132848,-119.7115504,W03,07/07/2023,10,10,2023,BLH
47.132848,-119.7115504,W03,07/14/2023,9.5,9.5,2023,BLH
47.132848,-119.7115504,W03,07/21/2023,8,8,2023,BLH
47.132848,-119.7115504,W03,07/28/2023,25.5,25.5,2023,BLH
